id,job_name,address,salary_range,company_name,industry,company_size,company_type,job_code,job_detail,update_date,company_detail,job_url
1001,Java,长沙-岳麓区,2-4万·16薪,科锐尔人力资源服务(苏州)有限公司,咨询服务,1000-9999人,已上市,CC453635220J40630245303,base：深圳、东莞、上海、南京、苏州、杭州、武汉、西安、成都、北京、广州、济南、长沙等多地区可选，线上面试，面试定薪定级，初中高级都有hc。,5月13日,"科锐国际人力资源有限公司成立于1996年，总部位于北京。作为亚洲领先的整体人才解决方案服务商，科锐国际在中国大陆、香港、印度、新加坡等亚洲地区拥有超过79家分支机构，1,500余名专业招聘顾问，在超过18个行业及领域为客户提供中高端猎头、招聘流程外包、灵活用工、营销外包、校园招聘、培训、招聘咨询等解决方案。截至目前，科锐已与2,000余家跨国集团、国内上市公司、快速成长性企业及非盈利组织建立长期合作关系。其中70%为外资500强企业。","https://www.zhaopin.com/jobdetail/CC453635220J40630245303.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
1002,技术支持工程师,上海-闵行区,5000-10000元,上海秦域圣科技有限公司,"互联网,云计算/大数据",20-99人,不需要融资,CCL1370537240J40376072609,职位要求 ：,4月12日,上海秦域圣科技有限公司（简称秦域圣）是北京传奇天地科技有限公司业务分离独立核算的上海公司。北京传奇天地科技有限公司（简称传奇天地）成立于2007年，主要代理分销浪潮企业级云计算和数据中心产品、是浪潮全国最高级别钻石级分销商，浪潮单一品牌产品分销年销量达亿元级别，多次获得浪潮年度最佳合作伙伴贡献奖，现为浪潮集团亿元俱乐部8家成员之一。传奇天地自成立以来先后为交通、电信、政法、宣传文化、市场监管、医疗健康卫生、环境能源、政府党政民生、企业和教育科研行业等众多用户提供各种解决方案，在技术论证、设备选型、安装调试及其相关的技术支持和售前、售后服务等方面积累了丰富的经验。秦域圣是一家专注致力于企业级产品销售、技术咨询服务及提供企业级IT解决方案的高科技公司。公司现有员工均为相关行业元老骨干型人才，上下一心，同舟共济。公司全体员工本着“以信誉求生存，以科技求发展”的宗旨，坚持“以用户为中心，以应用为目标”的原则，一如既往地发扬不懈进取的敬业精神，服务于广大客户，在中国计算机设备的系统维护、技术支持服务及计算机应用、云计算和大数据等领域做出应有的贡献。一个人势单力薄，融入团队就能立于不败；一滴水只有融入大海，才永不干涸；一个人只有当他把自己和集体事业融合在一起的时候，才能最有力量。这就是团队。如果你想要依靠自己的能力做一件有价值的事情，希望每日的付出不只是为了一份工作，而是一个可以依托的事业。在这个变革的时代，如果你希望自己不再只是一个默默无闻的旁观者，而是一个能亲身经历变革的参与者，甚至是一次伟大变革的创造者。上海秦域圣科技有很多与你有着共同目标的人。我们正在改变人们一起工作的方式，如果你也想成为其中的一员，成为一个创造者，我们在这里等待你的加入。,"https://www.zhaopin.com/jobdetail/CCL1370537240J40376072609.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
1003,测试工程师,东莞-None,7000-12000元,重庆科满福人力资源服务有限公司,企业服务,20-99人,,CCL1487604860J40932690804,【岗位职责】 ： 1、进行新产品研发阶段的测试工作 2、完成新产品的功能测试、可靠性测试、环境测 试、安全测试等技术工作 3、制定测试计划，设计测试用例，分析测试数 据，编制测试报告 4、为其他部门提供技术支持，与其他部门的产品 联合测试工作,7月17日,,"https://www.zhaopin.com/jobdetail/CCL1487604860J40932690804.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
1004,技术支持工程师,湛江-廉江市,8000-12000元,广东汇海农牧科技集团有限公司,"农/林/牧/渔,农副产品加工制造,工业自动化",1000-9999人,不需要融资,CC413517680J40758688513,岗位职责 - 推广集团“健康养殖模式”及动保配套方案； - 为养殖客户提供常见病防控及技术培训服务； - 参与重点客户、示范户的定期技术跟踪服务； - 协助销售及市场开展动保宣传与科普内容制作。 任职要求 - 水产相关专业（如水产养殖、水生生物、水产动保等）硕士学历； - 毕业于全国水产相关专业排名前30的高校优先； - 2025年应届毕业生或2024年毕业、动保经验1年内者优先； - 热爱水产行业，适应长期出差，有C1驾照。,7月24日,汇海农牧科技集团有限公司是一家专注于特种水产、猪、家禽、反刍与宠物饲料的现代农牧企业，总部位于广东&江门（双总部），旗下拥有10家现代化饲料工厂、一个动保工厂和多个养殖基地，业务覆盖华南、华东、华中等区域，致力于为客户提供高品质饲料与健康养殖整体解决方案。自2004年创立以来，汇海始终秉持“给客户提供价值，为员工创造幸福”的核心价值观，持续推进产品创新、管理升级与人才发展。集团重视科研投入，与中国农业大学、华中农业大学、华南农业大学等科研机构长期合作，在水产营养、疾病防控与动保技术等方面不断取得突破。2025年，汇海在印尼设立首家海外工厂，正式启动国际化战略，为中国农牧企业“走出去”积累经验并迈出关键一步。在组织建设方面，汇海坚持“专业实力+人本精神”的企业文化，不断打造规范、高效、透明、国际化的财务、人力与业务管理体系，助力员工成长成才，推动组织高质量发展。欢迎有志于农牧行业的优秀人才加入汇海，与我们共创可持续、可信赖、有价值的未来！,"https://www.zhaopin.com/jobdetail/CC413517680J40758688513.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
1005,硬件测试,西安-碑林区,6000-8000元,陕西锐嘉电子科技有限公司,计算机硬件,20-99人,未融资,CC187978020J40729134510,**设备硬件测试** **岗位描述**： 我们正在招聘一名设备硬件测试技术员，负责硬件设备的测试和评估工作。候选人需具备相关技术背景。 **岗位职责**： - 进行硬件设备的测试和评估。 - 记录测试数据，编写测试报告。 - 识别并报告硬件设备问题。 - 协助改进测试流程和方法。 ,4月4日,公司成立于2007年，主要从事计算机软硬件的开发及销售；数码产品、多媒体产品、计算机网络工程及系统集成；安防监控；网站推广、应用、服务咨询；办公用品、安防产品、电教设备、通信设备的销售；五金小家电、化学试剂、检测仪器、玻璃器皿耗材的销售。,"https://www.zhaopin.com/jobdetail/CC187978020J40729134510.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
1006,实施工程师,北京-西城区,8000-16000元,科锐尔人力资源服务(苏州)有限公司,咨询服务,1000-9999人,已上市,CC453635220J40804823003,1、具备良好的沟通交流能力，以及较强的文字组织和汇报能力； 2、具备很强的合作精神，学习能力强，良好的沟通协调能力，富有团队精神； 3、工作积极主动，敬业负责，能按时完成任务，能在压力下工作； 4、较强的业务分析、总结能力；有金融业务知识、会计基础者优先考虑。 5、熟悉Oracle、MySQL等关系型数据库技术中的至少一种，包括SQL编写。 6、至少具有一种以上应用服务器（WebLogic/WebSphere/Tomcat/JBoss）的实际使用经验； ,7月1日,"科锐国际人力资源有限公司成立于1996年，总部位于北京。作为亚洲领先的整体人才解决方案服务商，科锐国际在中国大陆、香港、印度、新加坡等亚洲地区拥有超过79家分支机构，1,500余名专业招聘顾问，在超过18个行业及领域为客户提供中高端猎头、招聘流程外包、灵活用工、营销外包、校园招聘、培训、招聘咨询等解决方案。截至目前，科锐已与2,000余家跨国集团、国内上市公司、快速成长性企业及非盈利组织建立长期合作关系。其中70%为外资500强企业。","https://www.zhaopin.com/jobdetail/CC453635220J40804823003.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
1007,软件测试,深圳-龙岗区,5000-8000元,深圳市点点点信息技术有限公司,"IT服务,电子/半导体/集成电路",100-299人,B轮,CCL1405520980J40694113216,【岗位职责】项目周期：11~12个月 1、主要公司软件的蓝耳耳机测试工作，目前公司因项目扩展急招； 2、日常工作，负责蓝牙耳机的各项测试工作； 3、全方面参与测试流程，包括需求分析评审、测试计划方案编写、测试案例设计和执行、跟进bug的修复和推进，输出相关测试文档 4、有较强的沟通能力，团队协作能力强 5、有一定的抗压能力，可以适应一定程度的加班 6、熟悉OTA升级,2025年07月29日,作为“深圳创业者”的一员，深圳市点点点信息技术成立于2022年，至今2岁+，公司创立者皆来自大厂，从事智能产品研发设计、生产制造、综合服务的科技企业，积累了强大的产品级方案设计、硬件创新设计、系统级软件平台开发；涵盖智能手表、蓝牙耳机、AI游戏及AI游戏领域等智能产品布局，服务商包括vivo、oppo、realme、华为等智能产品，为广大服务商提供更好的解决方案，目前公司新的办公地址正在装修，新的家庭期待你的加入~,"https://www.zhaopin.com/jobdetail/CCL1405520980J40694113216.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
1008,Java,福州-闽侯县,100-150元/天,福州易联星拓通信科技有限公司,"通信/网络设备,通信/网络设备",20-99人,未融资,CC575469529J90250018000,岗位职责： 1. 进行位置服务云平台等移动互联网产品的软件开发； 2. 参与公司系统平台产品的系统方案分析与设计。 任职要求： 1. 计算机软件相关专业； 3、熟悉JAVA开发语言； 4、熟悉前端开发VUE框架； 5、熟悉后端Spring Cloud微服务框架； 6、熟悉使用Mysql数据库、redis、mq等； 7. 熟悉使用 idea、Visual studio code、uniapp等开发工具、SVN等； 8. 熟悉掌握 HTML5、JavaScript、Jquery、AJAX、JSON 有扎实的技术和解决问题的能力； 福利待遇： 1、法定节假日放假，周末双休。 2、超长春节假期。 3、加班积分补助。 4、免费加班餐。 5、年底双薪，绩效奖金，年度调薪。 6、员工旅游。 7、地铁2号线直达公司大厦门口。 8、8小时工作制。 9、免费停车（电动车、私家车）。 10、评先评优：每年年终公司对优秀员工获得者予以表彰嘉奖   11、不定期聚餐活动,6月6日,"福州易联星拓通信科技有限公司是以车联网为核心、提供软件平台、硬件终端、数据服务的物联网整体解决方案提供商。在车联网领域，公司公司以汽车安全网联技术为基础，为车企、车队、用户及产业链相关方提供汽车全生命周期管理解决方案，进一步实现汽车安全网联及智能网联。在物联网领域，以车联网和移动位置服务为基础，结合先进传感技术及5G通讯技术，提供提供移动资产物联解决方案。我司是国家高新技术企业、双软企业和福建省科技型企业，是福建省汽车工业协会、中国NB-IOT联盟、联通物联网联盟、国家新能源大数据联盟等机构的理事或成员单位。我司通过IATF16949汽车质量体系认证，已经构建起了一套符合车厂要求的研发及生产质量体系，成为国内众多车企的合格供应商。公司以研发为主，研发人员占总人数的70%以上，核心研发人员在车联网、位置服务及北斗应用行业积淀多年，能够深刻理解行业，快速响应需求，深度定制方案。公司位于福州高新技术产业园海西园，毗邻大学城，与多所知名高校、科研机构建立了长期的战略合作关系，为公司的长久持续发展及创新研发提供了强有力的保障。同时公司获得多项著作权、软件产品及专利,并承担相关科技项目的研发。公司以“构建易联世界，创新驱动未来”为使命，致力于成为国内领先以车联网为核心的物联网整体解决方案及数据服务提供商。福利待遇：享受有薪假及法定节假日；员工旅游、年终奖等等各种福利工作时间：7.5小时工作制联系方式： 1、联系人：陈小姐招聘热线：0591-38201116； 2、公司地址：福州市高新区海西高新技术产业园中青大厦4楼；交通便利：公交站、地铁站均在公司大厦门口 1）.市区可乘173、172、336、151公交到福州高新区【创业中路】站下车即到 2）.公司中青大厦门口地铁站：地铁2号线【厚庭站】（2019年开通）","https://www.zhaopin.com/jobdetail/CC575469529J90250018000.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
1009,Java,合肥-蜀山区,1-1.5万,新讯数字科技(杭州)有限公司北京分公司,"运营商/增值服务,计算机软件,通信/网络设备",1000-9999人,不需要融资,CC120409680J40717027409,岗位职责： 1、 JAVA应用系统项目开发和支持 2、 按照公司规范编制高质量代码 3、 按照公司规范对于代码进行测试，保证交付代码质量 4、 编写相关技术文档 岗位要求： 1、专科及以上学历，计算机或相关专业，有2年以上Java软件开发工作经验； 2、精通Java技术，有独立的coding能力和良好的编程习惯和代码规范； 3、精通微服务架构，熟悉spring、MyBatis了解其原理和实现机制，熟悉分布系统的原理，有实际大型微服务拆分经验者优先； 4、熟悉但不限于zookeeper/k8s/dubbo/tomcat/Apache/Nginx/MQ等开源框架与产品的实现； 5、熟悉weblogic、jboss tomcat、websphere等应用服务器，精通linuxwindows系统上的安装部署、配置及性能调优； 6、能独立分析问题、解决问题、有较强的学习能力、沟通协调能力，强烈的责任心、工作踏实； 7、技术视野开阔，对业界新技术敏感，喜欢钻研，拥有良好的沟通协调和团队合作能力。 8、了解基础大数据技术和组件者优先，如Hadoop、Kafaka、有应用经验者优先,3月31日,新讯数字科技（杭州）有限公司（简称“新讯”、“EB”），曾用名“杭州东信北邮信息技术有限公司”，由北京邮电大学廖建新教授以其主持研发的移动智能网核心技术为基础，于2000年2月创建。公司现有员工约1800人，在全国二十多个省、自治区、直辖市设立了分公司/办事处，拥有投资近4000万元的大型系统实验室。经过二十余年拼搏，已形成了立体化产品矩阵，覆盖核心网络通信、高性能媒体处理、大数据与AI、通信安全、物联网等DICT领域，为现网近10亿用户提供电信级服务。目前，公司已经成为国内运营商的重要战略合作伙伴和移动通信领域的主要支撑厂商。,"https://www.zhaopin.com/jobdetail/CC120409680J40717027409.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
1010,实施工程师,天津-北辰区,4000-7000元,天津施格自动化科技有限公司,"工业自动化,工业自动化",20-99人,,CC543706030J40765745710,岗位职责：  1、负责与售前规划工程师对接AGV项目方案的沟通与确认；,7月14日,一、公司简介天津施格自动化科技有限公司（简称“施格自动化”）成立于2016年，由多位精益生产和智能制造行业专家依托丰富的行业经验共同建立，公司总部位于天津。施格自动化自2016年成立至今，分别在天津、上海等地建立分公司，并计划今年在昆山设立服务中心和生产基地。施格自动化旨在为工厂、物流行业提供将机器人运用到工厂的二次包装环节和现代仓储物流行业货品的集散、分拣包装环节等，从智能化升级咨询服务到成套智能化升级解决方案，并提供全套一体化的“交钥匙”工程，为客户企业提供专业、高效、智能化的服务。2018年11月施格自动化获得《国家高新技术企业》证书，同年12月通过ISO9001质量管理体系认证及ISO14001环境管理体系认证。施格自动化还通过与各高校合作，建立了一套产、学、研相结合的研发、生产、营销服务体系。施格自动化利用产品和服务的可靠性、智能化升级咨询服务和解决方案能力的专业性和创新性，恪守承诺的服务态度，与诸多知名跨国集团、知名本土企业建立了长期合作关系，包括京东、阿里巴巴、顺丰、等大型电商物流企业，同时也成为大福、中集等大型物流设备公司的服务提供商。施格为客户提供全面的工业智能升级方案，工业智能升级主要为制造企业提供工业智能升级所需的智能化诊断服务，通过对客户的生产要素、制造资源、业务应用的分析，协助顾客明确智能化升级所需要的方法、定位成熟等级、识别智能化水平差距、确立升级目标、推荐改善方案。施格自动化在专业领域的不断探索中，还为客户提供工业4.0整体软硬件一体化解决方案及实施。施格自动化业务范围涵盖供应链、生产制造、质量控制、设备管理、能源管理、工业大数据、AI等领域，并可以融合精益生产理念提供全套智能化解决方案。施格自动化以精益求精为理念、用专业的知识为中国各行各业提供智能制造改造方案，为中国制造业培养人才团队，助力中国制造业实现智能化升级。二、发展历程回顾2016年—施格自动化利用智能制造的专业性、智能化，秉承恪守承诺的服务态度，迅速占领市场，赢得行业内、客户企业的多次推荐和良好口碑。2018年—施格自动化单独成立专业的智能化解决方案团队。凭借在数字化工厂多年的实战经验，依托精益生产理念，融入“云计算、移动互联、大数据、人工智能、工业互联网、机器人”等创新技术，成为汇聚经验丰富的工业化和智能化诊断、解决方案、开发、实施与运维的专业智能化解决方案团队。团队秉承以科技为核心，以精益思想为主导，以服务为导向，多层次、多模式实现企业智能化转型升级，并依托智能Sugar工业互联网平台，实现“Daas边缘数据化+IaaS设备自动化+PaaS资源平台化+SaaS系统智能化”的核心技能，赋能工业智能化升级，致力于将专业的诊断和咨询，专业的解决方案、专业的开发、专业的实施、专业售后到专业培训的一站式服务融入到企业智能化升级中，使诊断明确，解决方案更加有效，使客户企业改善效果落地，从而提高客户企业的行业竞争力。2020年—施格自动化进入粉体包装码垛行业，依靠施格自动化专业团队多年在物流和包装行业的经验，为粉体包装行业带来全自动化包装码垛系统。2022年—施格自动化进入半导体智能检测行业，依靠施格自动化专业团队和优秀口碑，在行业内脱颖而出，拿下多个优质客户企业。,"https://www.zhaopin.com/jobdetail/CC543706030J40765745710.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
